1|2026-08-24 10:42:53.105317+00|dekan|staff|Сколько студентов обучается на факультете информационных технологий?|SELECT COUNT(DISTINCT students.id) AS количество_студентов FROM students JOIN groups ON students.group_id = groups.id JOIN programs ON groups.program_id = programs.id JOIN faculties ON programs.faculty_id = faculties.id WHERE faculties.name = 'Информационные технологии';|SELECT COUNT(DISTINCT students.id) AS количество_студентов FROM students JOIN groups ON students.group_id = groups.id JOIN programs ON groups.program_id = programs.id JOIN faculties ON programs.faculty_id = faculties.id WHERE faculties.name = 'Информационные технологии' LIMIT 200|allowed||1|735|9615|yandexgpt-5.1
2|2026-08-24 10:42:54.507923+00|dekan|staff|Покажи динамику набора студентов за последние 5 лет|||rejected|Для выполнения запроса не хватает информации о том, по каким критериям отслеживать динамику (по факультетам, программам, общему количеству и т. д.). Пожалуйста, уточните запрос.|||969|yandexgpt-5.1
3|2026-08-24 10:43:00.865667+00|dekan|staff|Сколько студентов имеют академическую задолженность?|SELECT COUNT(DISTINCT enrollments.student_id) AS количество_студентов_с_задолженностью FROM enrollments JOIN grades ON enrollments.id = grades.enrollment_id WHERE grades.score IS NULL OR grades.score < 4;|SELECT COUNT(DISTINCT enrollments.student_id) AS количество_студентов_с_задолженностью FROM enrollments JOIN grades ON enrollments.id = grades.enrollment_id WHERE grades.score IS NULL OR grades.score < 4 LIMIT 200|allowed||1|733|1550|yandexgpt-5.1
4|2026-08-24 10:43:02.48263+00|dekan|staff|Какая кафедра имеет наибольшую учебную нагрузку?|||rejected|Для определения кафедры с наибольшей учебной нагрузкой нужно уточнить, по какому критерию её измерять: по количеству часов, количеству преподаваемых предметов, количеству преподавателей и т. д.|||1325|yandexgpt-5.1
5|2026-08-24 10:43:04.966899+00|dekan|staff|Какой средний балл по дисциплине «Базы данных»?|||rejected|В схеме базы данных нет информации о названии дисциплин, только их идентификаторы. Поэтому невозможно выполнить запрос по названию 'Базы данных'.|||2200|yandexgpt-5.1
6|2026-08-24 10:48:29.121496+00|dekan|staff|Сколько студентов обучается на факультете информационных технологий?|SELECT COUNT(DISTINCT students.id) AS количество_студентов FROM students JOIN groups ON students.group_id = groups.id JOIN programs ON groups.program_id = programs.id JOIN faculties ON programs.faculty_id = faculties.id WHERE faculties.name = 'информационных технологий' AND students.status = 'учится';|SELECT COUNT(DISTINCT students.id) AS количество_студентов FROM students JOIN groups ON students.group_id = groups.id JOIN programs ON groups.program_id = programs.id JOIN faculties ON programs.faculty_id = faculties.id WHERE faculties.name = 'информационных технологий' AND students.status = 'учится' LIMIT 200|allowed||1|689|8245|yandexgpt-5.1
7|2026-08-24 10:48:33.947451+00|dekan|staff|Покажи динамику набора студентов за последние 5 лет|SELECT admission_campaigns.year, SUM(admission_campaigns.budget_seats + admission_campaigns.paid_seats) AS total_seats, COUNT(applications.id) AS total_applications, SUM(CASE WHEN applications.status = 'зачислен' THEN 1 ELSE 0 END) AS enrolled_students FROM admission_campaigns JOIN applications ON applications.campaign_id = admission_campaigns.id WHERE admission_campaigns.year >= (EXTRACT(YEAR FROM CURRENT_DATE) - 5) GROUP BY admission_campaigns.year ORDER BY admission_campaigns.year;|SELECT admission_campaigns.year, SUM(admission_campaigns.budget_seats + admission_campaigns.paid_seats) AS total_seats, COUNT(applications.id) AS total_applications, SUM(CASE WHEN applications.status = 'зачислен' THEN 1 ELSE 0 END) AS enrolled_students FROM admission_campaigns JOIN applications ON applications.campaign_id = admission_campaigns.id WHERE admission_campaigns.year >= (EXTRACT(YEAR FROM CURRENT_DATE) - 5) GROUP BY admission_campaigns.year ORDER BY admission_campaigns.year LIMIT 200|allowed||5|691|2029|yandexgpt-5.1
8|2026-08-24 10:48:37.482888+00|dekan|staff|Какая кафедра имеет наибольшую учебную нагрузку?|SELECT departments.name, SUM(subjects.hours) AS total_hours FROM subjects JOIN departments ON subjects.department_id = departments.id GROUP BY departments.name ORDER BY total_hours DESC LIMIT 1;|SELECT departments.name, SUM(subjects.hours) AS total_hours FROM subjects JOIN departments ON subjects.department_id = departments.id GROUP BY departments.name ORDER BY total_hours DESC LIMIT 1|allowed||1|687|1415|yandexgpt-5.1
9|2026-08-24 10:48:40.774239+00|dekan|staff|Какой средний балл по дисциплине «Базы данных»?|SELECT AVG(grades.score) AS средний_балл FROM grades JOIN curriculum ON grades.curriculum_id = curriculum.id JOIN subjects ON curriculum.subject_id = subjects.id WHERE subjects.name = 'Базы данных';|SELECT AVG(grades.score) AS средний_балл FROM grades JOIN curriculum ON grades.curriculum_id = curriculum.id JOIN subjects ON curriculum.subject_id = subjects.id WHERE subjects.name = 'Базы данных' LIMIT 200|error|В базе нет такой колонки|||1617|yandexgpt-5.1
10|2026-08-24 10:48:45.262201+00|dekan|staff|Сколько студентов имеют академическую задолженность?|SELECT COUNT(DISTINCT students.id) AS количество_студентов_с_задолженностью FROM enrollments JOIN grades ON enrollments.id = grades.enrollment_id JOIN students ON enrollments.student_id = students.id WHERE (grades.score = 2 OR grades.score IS NULL) AND students.status = 'учится';|SELECT COUNT(DISTINCT students.id) AS количество_студентов_с_задолженностью FROM enrollments JOIN grades ON enrollments.id = grades.enrollment_id JOIN students ON enrollments.student_id = students.id WHERE (grades.score = 2 OR grades.score IS NULL) AND students.status = 'учится' LIMIT 200|allowed||1|1180|1935|yandexgpt-5.1
